title,genre_id,age_release,description,image_url
Ripper Untold,27,2021,A detective and a medical examiner join forces to solve a series of horrific murders in Victorian London - but one of them harbors a deadly secret.,/eJ0q6GIac00TvanshEDREQ79mpz.jpg
The Last Starfighter,"12,878,28",1984,"Video game expert Alex Rogan finds himself transported to another planet after conquering the video game The Last Starfighter, only to find out it was just a test. He was recruited to join the team of best Starfighters to defend their world from the attack.",/an1H0DPADLDlEsiUy8vE9AWqrhm.jpg
Fireworks,"80,18",1997,"Detective Nishi is relieved from a stakeout to visit his sick wife in hospital. He is informed that she is terminally ill, and is advised to take her home. During his visit, a suspect shoots one detective dead and leaves Nishi's partner, Horibe, paralyzed. Nishi leaves the police force to spend time with his wife at home, and must find a way to pay off his debts to the yakuza.",/bWIo1nDJnSyGJvVt8bRw8PHBqo4.jpg
Emerald Green,"14,28,9648",2016,"Emerald Green is the stunning conclusion to Kerstin Gier's Ruby Red Trilogy, picking up where Sapphire Blue left off, reaching new heights of intrigue and romance as Gwen finally uncovers the secrets of the time-traveling society and learns her fate.",/hoQa869OPu5DqO5Qz1rQe0Gi9cs.jpg
Little Monsters,"27,35",2019,A washed-up musician teams up with a teacher and a kids show personality to protect young children from a sudden outbreak of zombies.,/oQvUq7UmumBTcAnvgFLFvegY47d.jpg
Vera Drake,18,2004,Abortionist Vera Drake finds her beliefs and practices clash with the mores of 1950s Britain – a conflict that leads to tragedy for her family.,/556fElboCLlEmP8UULaYosU45Bc.jpg
Wer,"27,9648,53",2013,"A defense attorney begins to suspect that her client, who is charged with the murders of a vacationing family, might be more than meets the eye.",/hWkkgAuYIyXxNDUs5zydwEr9xfg.jpg
Vampire Academy,"35,28,14",2014,"Rose, a rebellious half-vampire/half-human guardian-in-training and her best friend, Lissa -- a mortal, royal vampire Princess - have been on the run when they are captured and returned to St. Vladamirs Academy, the very place where they believe their lives may be in most jeopardy. Rose will sacrifice everything to protect Lissa from those who intend to exploit her from within the Academy walls and the Strigoi (immortal, evil vampires) who hunt her kind from outside its sanctuary.",/cJZpKgiFfjDZ6L5aOJvbmDhsGqY.jpg
Captain Ron,"12,35",1992,"When mild-mannered Martin Harvey finds out that he has inherited a vintage yacht, he decides to take his family on a Caribbean vacation to retrieve the vessel. Upon arriving on a small island and realizing that the ship is in rough shape, Martin and his family end up with more than they bargained for as the roguish Captain Ron signs on to sail the boat to Miami. It doesn't take long before Ron's anything-goes antics get the Harveys into plenty of trouble.",/otnKFXvqFH2swlrNf2sNiXpnIsR.jpg
Hatchet,"35,27",2006,"When a group of tourists on a New Orleans haunted swamp tour find themselves stranded in the wilderness, their evening of fun and spooks turns into a horrific nightmare.",/xRWRUZchxjttsNkGVZD2zGpihbJ.jpg
No Tears for the Dead,"28,53,18",2014,"A hitman accidentally kills a little girl. Filled with regret, he wants to quit. But then to tie up loose ends, he is forced to go on another job, to kill the girl's mother.",/t3vtsQtu76xMKLal0g1UYkmZD2e.jpg
No Tears for the Dead,"28,53,18",2014,"A hitman accidentally kills a little girl. Filled with regret, he wants to quit. But then to tie up loose ends, he is forced to go on another job, to kill the girl's mother.",/t3vtsQtu76xMKLal0g1UYkmZD2e.jpg
Nada que ver,"10749,35",2023,"After Carlos is tasked to care for Paola, both characters must work out their differences to make their time together more pleasant. As time goes on, they are faced with lessons about trust, mutual respect, and perhaps love.",/ofnOwcG9l1DuGl7vB45JHsfSlR6.jpg
Tokyo Revengers,"28,18,80",2021,An unemployed man learns that his ex-girlfriend was murdered. He suddenly finds himself travelling through time to his middle school years and has chance to change the future and save the girl. He aims to rise to the top of the most brutal delinquent gang.,/q8Q2VBt3rP0cSG3hNerIQuogLAH.jpg
Rags,"10770,35,18,10402",2012,"Rags follows the story of Charlie Prince, an orphan living with his acerbic and unloving stepfather and spoiled, simple-minded stepbrothers. Charlie's dream is to be a singer, and while he is vocally talented and can write music, he can't seem to catch a break. Kadee Worth, on the other hand, is the daughter of music mogul Reginald Worth and is an international pop phenomenon. While the world knows her as a glamorous superstar, she is secretly frustrated with singing other people's songs and wearing clothes other people choose for her. Kadee wants the world to hear and see her true talent. Despite every obstacle that gets thrown in their way, once Charlie and Kadee find one another, they each finally get what they have been looking for – a voice, a stage, an audience and each other.",/5CfrXWMeGcMlisL1YRCgpFMWiER.jpg
The Perfect Weapon,"28,18,80",1991,"Jeff, a young delinquent, is enrolled by his father in a kenpo school, in the hopes of teaching the boy some self-discipline. Years later, Jeff's mentor, Kim, is being threatened by one of the Korean mafia families. Jeff tries to help his old friend, but is too late to prevent Kim's death at the hands of an unknown hitman. Vowing revenge, Jeff takes on all of the families, using his martial arts skills to find the man who killed his friend.",/cCXDdDDgNxvtQVzBw9TfTz1QYjm.jpg
Inuyashiki,"28,12,878,14",2018,A middle-aged office worker encounters aliens and is gifted with alien technology and limitless powers.,/lyqkQ6y7d4YGVQrRjtmGTRMVcDY.jpg
The Scalphunters,"35,37",1968,"Forced to trade his valuable furs for a well-educated escaped slave, a rugged trapper vows to recover the pelts from the Indians and later the renegades that killed them.",/m82aMr1Pcqt5t0cpSCwq5REdajY.jpg
The Battle at Lake Changjin II: Water Gate Bridge,"10752,36,28,18",2022,"In the follow-up to ""The Battle At Lake Changjin"", brothers Wu Qianli and Wu Wanli undertake a new task for the People's Volunteer Army, defending a bridge part of the American troops' escape route from the advancing Chinese.",/4W58wirZhbzcw2lNzRS2ErKnOGS.jpg
Love Actually... Sucks!,18,2012,"It tells a variety of stories about love that has gone wrong: a brother and sister in an illicit relationship, a married painter who falls in love with his young male life model, a dance school teacher who is besotted with his senior student, and a lesbian couple, one of whom has role-play paranoia, and is caught in a complex love triangle.",/rg6nvLdz3Zt0ptBxHN9I9zBtd7C.jpg
Passport to Paris,"35,10751",1999,"Sent to Paris to visit their grandfather, the twins fall in love with France, not to mention two French boys.",/qwSUZWucryjWJ4ZLjDhy94MHev5.jpg
Insomnia,"53,80,9648",1997,"Detectives Jonas and Erik are called to the midnight sun country of northern Norway to investigate a recent homicide, but their plan to arrest the killer goes awry, and Jonas mistakenly shoots Erik. The suspect escapes, and a frightened Jonas pins Erik's death on the fugitive. Jonas continues to pursue the killer as he seeks to protect himself; however, his mounting guilt and the omnipresent sun plague him with an insomnia that affects his sanity.",/k0inzQmt7kATmAGns0wdfjiFxSu.jpg
Wimbledon,"35,10749",2004,"British tennis player Peter clutches to an embarrassingly low position on the tennis-ranking ladder. Handed a wild card for Wimbledon, he expects it to be his final bow.",/6VwpWP9iTkODN9Mqa7Ce7zmma6d.jpg
Flight of the Phoenix,"28,12",2004,"When an oil rig in the Gobi Desert of Mongolia proves unproductive, an aircraft crew are sent to shut the operation down and fly them out. On the flight out over the desert on the way to Beijing, Capt. Frank Towns and co-pilot A.J. are unable to keep their cargo plane, a C-119 Flying Boxcar, in the air when a violent sandstorm strikes. Crash-landing in a remote uncharted part of the desert, the two pilots and their passengers -- a crew of oil workers and a drifter -- must work together to survive by rebuilding the aircraft. Soon, low supplies and a band of merciless smugglers add even greater urgency to their task.",/pcj6unMsKCw0ogWFlUXmbc9gKap.jpg
Animal Farm,"10751,18,35",1999,Animals on a farm lead a revolution against the farmers to put their destiny in their own hands. However this revolution eats their own children and they cannot avoid corruption.,/vFQo4DdhgHBr0Jy06VpzCYaZaPI.jpg
Down by Law,"80,18,35",1986,"A disc jockey, a pimp and an Italian tourist escape from jail in New Orleans.",/4IyxoUQ7BB5kcSd7gASe2dTyWu7.jpg
Cyrano,"18,10749",2021,"A man ahead of his time, Cyrano de Bergerac dazzles whether with ferocious wordplay at a verbal joust or with brilliant swordplay in a duel. But, convinced that his appearance renders him unworthy of the love of a devoted friend, the luminous Roxanne, Cyrano has yet to declare his feelings for her—and Roxanne has fallen in love, at first sight, with Christian.",/e4koV8iC2cCM57bqUnEnIL2a2zH.jpg
Repo Man,"35,878",1984,"A down and out young punk gets a job working with a seasoned repo man, but what awaits him in his new career is a series of outlandish adventures revolving around aliens, the CIA, and a most wanted '64 Chevy.",/ewHbMkKNjGMRKUgCLrpT9UPnaCR.jpg
Stone Cold,"28,80,53",1991,"Joe Huff (Brian Bosworth) is a tough, loner cop with a flair for infiltrating dangerous biker gangs. The FBI blackmail Joe into an undercover operation that entails infiltrating ""The Brotherhood"" - a powerful Mississippi biker gang linked in the murder of government officials as well as dealing drugs with the mafia.",/4nW7wZKKjzZ5zriDfIjpJcZIyZS.jpg
Monster Family,"16,10751,14,35",2017,"The Wishbone family are far from happy. In an attempt to reconnect as a family, they plan a fun night out. However, the plan backfires when they are cursed and all turned into Monsters.",/gjDbd43e7o2Ssn7P1l50Bv0rtIl.jpg
Possession,"18,9648,10749",2002,"Maud Bailey, a brilliant English academic, is researching the life and work of poet Christabel La Motte. Roland Michell is an American scholar in London to study Randolph Henry Ash, now best-known for a collection of poems dedicated to his wife. When Maud and Roland discover a cache of love letters that appear to be from Ash to La Motte, they follow a trail of clues across England, echoing the journey of the couple over a century earlier.",/WBZZGBveF39sCkBSR0wZuwsY3Y.jpg
The Swan,18,2023,"Two large, ignorant bullies ruthlessly pursue a small, brilliant boy in this young adult Roald Dahl short story.",/fRbx6DPdQBJrhZWyshjJABtAIyu.jpg
Doraemon the Movie: Nobita's Sky Utopia,"16,12,878",2023,"Doraemon, Nobita and his friends go to find Utopia, a perfect land in the sky where everyone lives with happiness, using an airship having a time warp function.",/uux6M8z3hxLDkq8LXSzq8528mrq.jpg
Help! I'm a Fish,"12,16,35,10751",2000,"Three children are accidentally transformed into fish after consuming a potion made by an eccentric scientist. The kids end up in the sea, with one problem: they must find and drink the antidote within 48 hours, or forever remain as fish.",/s9yFQD19xJqXEnAnUAZFUan25DJ.jpg
Jane Eyre,"18,10749",1943,"After a harsh childhood, orphan Jane Eyre is hired by Edward Rochester, the brooding lord of a mysterious manor house to care for his young daughter.",/v4171t7fmwu7jnRJaO6jmLOYdVB.jpg
White Fang,"28,12,18,10751",1991,Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.,/27wg0rVZW8hX7nWeHCwTf9DygGc.jpg
Brad's Status,"35,18",2017,"Although Brad has a satisfying career, a sweet wife and a comfortable life in suburban Sacramento, things aren't quite what he imagined during his college glory days. When he accompanies his musical prodigy son on a university tour, he can't help comparing his life with those of his four best college friends who seemingly have more wealthy and glamorous lives. But when circumstances force him to reconnect with his former friends, Brad begins to question whether he has really failed or if their lives are actually more flawed than they appear.",/uXiNpvig7EMq18VyNBUTlWrmN0q.jpg
Do Not Expect Too Much from the End of the World,"35,18",2023,"On behalf of a multinational company, a production assistant drives around the Romanian city of Bucharest, interviewing various citizens who have been injured due to work accidents to cast one of them in a “safety at work” video.",/y2H7SMzSO0f8KHjCqavUhVfRX0Z.jpg
Le Torrent,53,2022,"Alexandre finds out his wife Juliette is cheating on him. They quarrel with each over, Juliette runs away during the night, and has a fatal fall. The next day, torrential rain have taken her body away. The police force is investigating and Patrick, Juliette's father, shows up to find out what happened. Fearing to be charged, Alexandre convinces his 18 years old daughter Lison to cover him. But his lies make things worse, and Patrick has doubts about him. It's the beginning of a dreadful chain of events.",/xMm51WzScpaqAIRAfat6WGKPMYx.jpg
The Stranger by the Shore,"16,10749,18",2020,"Abandoned after coming out, Shun befriends Mio just before he has to move. Years later, Mio returns with a confession. How will Shun feel?",/65xjkTCsdLZJNP9jqKEvmQ4pFVJ.jpg
Akeelah and the Bee,18,2006,"Akeelah is a precocious 11-year-old girl from south Los Angeles with a gift for words. Despite her mother's objections, Akeelah enters various spelling contests, for which she is tutored by the forthright Dr. Larabee, her principal Mr. Welch, and the proud residents of her neighborhood. Akeelah's aptitude earns her an opportunity to compete for a spot in the Scripps National Spelling Bee.",/tLejxaLJu8Qh5F2VKacWniMSZ3v.jpg
Repulsion,"18,53,27",1965,"Beautiful young manicurist Carole suffers from androphobia (the pathological fear of interaction with men). When her sister and roommate, Helen, leaves their London flat to go on an Italian holiday with her married boyfriend, Carole withdraws into her apartment. She begins to experience frightful hallucinations, her fear gradually mutating into madness.",/dtyCKEPLqv9wxyVazL4b843vtUb.jpg
Sub Rosa,"18,10749",2014,"Bullied by his father to grow up, a teen fights between the love of his step-mother over his father's life.",/yVwt1gPaQxCUV8iC8i1rca6FSji.jpg
Scooby-Doo! WrestleMania Mystery,"16,35,10751,9648",2014,"The mystery begins when Shaggy and Scooby win tickets to ""WrestleMania"" and convince the crew to go with them to WWE City. But this city harbors a spooky secret - a ghastly Ghost Bear holds the town in his terrifying grip! To protect the coveted WWE Championship Title, the gang gets help from WWE Superstars like John Cena, Triple H, Sin Cara, Brodus Clay, AJ Lee, The Miz and Kane. Watch Scooby and the gang grapple with solving this case before it's too late.",/vgnxicD1qvhTrh4db9F7hJLoOaa.jpg
Paranoia,"18,53",2013,"An entry-level employee at a powerful corporation finds himself occupying a corner office, but at a dangerous price—he must spy on his boss's old mentor to secure for him a multi-billion dollar advantage.",/isbiljuGztxLlcOvrSw5FkQDGEd.jpg
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,"28,16,12,14",2002,"With their most formidable foe vanquished, Inuyasha and his comrades begin returning to their everyday lives. But their peace is fleeting as another adversary emerges: Kaguya, the self-proclaimed princess from the Moon of Legend, hatches a plot to plunge the world into an eternal night of the full moon. Inuyasha, Kagome, Miroku, Sango and Shippou must reunite to confront the new menace.",/dDhXuKzGLz3mG8Uz5j06NAVv3cy.jpg
Jungle Book,"12,14,10751",1942,"Mowgli, lost in the jungle when a toddler, raised by wolves, years later happens upon his human village and reconnects with its inhabitants, including his widowed mother. Continuing to maintain a relationship with the jungle, adventures follow.",/zYkffyYCFO1Li1f20MyaAYUaYC4.jpg
Spooks: The Greater Good,"53,28",2015,"During a handover to the head of counter-terrorism of MI5, Harry Pearce, a terrorist escapes custody. When Harry disappears soon after, his protégé is tasked with finding out what happened as an impending attack on London looms, and eventually uncovers a deadly conspiracy.",/bpK63x3M7uFtoIetK5YniHXLE28.jpg
Hoot,"18,10751,12",2006,"A young man moves from Montana to Florida with his family, where he's compelled to engage in a fight to protect a population of endangered owls.",/l3gbiQkSLXPRkJnH7QInA5zrk6n.jpg
Kazaam,"14,35,10751",1996,"When Max fools a gang of local toughs, he finds himself in big trouble. Fleeing from the thugs, Max runs into an old warehouse and bumps into a boom box. By doing that, he manages to release Kazaam, a genie who has been held captive for thousands of years.",/k6kXq27UVxf7zGCWSvygYYIp9eP.jpg
Angel and the Badman,"37,10749,12,28",1947,"Notorious shootist and womanizer Quirt Evans' horse collapses as he passes a Quaker family's home. Quirt has been wounded, and the kindly family takes him in to nurse him back to health against the advice of others. The handsome Evans quickly attracts the affections of their beautiful daughter, Penelope. He develops an affection for the family and their faith, but his troubled past follows him.",/tbnte13MT1mke828R0rKmNZ41G6.jpg
Explorers,"10751,878,14",1985,"Middle schooler Ben spends his free time watching sci-fi films, playing video games and reading comic books. Surprisingly, his affinity for all things fantastical yields a real result – when he has a vivid dream about technology, his prodigy best friend Wolfgang manages to create a working spacecraft. Joined by their buddy Darren, the boys take off into outer space and encounter some very odd extraterrestrial life.",/oFJosj5ECYjf1jkvpTEjGNzPx2x.jpg
Murder City,"80,53,28,10770",2023,A disgraced former cop finds himself working for a ruthless female kingpin to pay off his estranged father’s debt and protect his family.,/gZ1YbdkwyTCmVxZxh1otFnMEnOs.jpg
Tutor Touching,18,2018,"Seiji (Yasuyuki Sakurai), who dropped out of high school, was aiming for high school graduation and university entrance exams, thanks in part to his private tutor Chieko (Sumire Nagai). Chieko is an active female college student, and Seiji's age and home environment are close, so her mother, Fumie (Handa Sasa), pours her excessive interference into her son. It made me hate. One day, Fumie discovers that her classmate Midori (Miu Kiritani), who likes Seiji, is about to have her first experience with Seiji, and she is furious. She even ripped the two apart with her insane protests to Midori's parents. A few days later, Seiji, who has cut off his relationship, promises to meet Midori in the park at night, but Fumie quietly follows Seiji, who has left home...",/hrFwqIJDlIBZqGSyzZU7Ev3UQx2.jpg
2012: Ice Age,"28,12,878",2011,"A volcanic eruption in Iceland sends a glacier towards North America, causing everything in it's path to freeze. A family man struggles to escape the onslaught of the coming ice age.",/yzbqGfYDxE6biVDGs6G9GEcLNbD.jpg
Weeding Night,"35,10749",2024,"Lucía and Nico, the couple of the century, are about to say yes... although not with each other. It turns out that they both decided to get married on the same day and in the same place, but with other people.",/562Feolv3s54cJn9iUhqDtFysGR.jpg
Journey to the West: Conquering the Demons,"28,14,12,35",2013,"In a world plagued by demons who cause great human suffering, young demon hunter Tang Sanzang must fight against monstrous demons, as well as contend with a beautiful demon hunting woman on his path to enlightenment.",/XcFMQQfx1gMlh1RyEednP6frNC.jpg
Jackie Chan Kung Fu Master,"28,35,10751",2009,"Jackie Chan is the undefeated Kung Fu Master who dishes out the action in traditional Jackie Chan style. When a young boy sets out to learn how to fight from the Master himself, he not only witnesses some spectacular fights, but learns some important life lessons along the way.",/ds8xP7319zuPMa09kxzkIPBsHVL.jpg
Katyn,"18,36,10752",2007,"On September 1st, 1939, Nazi Germany invades Poland, unleashing World War II. On September 17th, the Soviet Red Army crosses the border. The Polish army, unable to fight on two fronts, is defeated. Thousands of Polish men, both military and government officials, are captured by the invaders. Their fate will only be known several years later.",/vfRDVMb9MBNFCxXhXRxKCLUujfF.jpg
About Schmidt,"18,35",2002,"A recently retired man embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected.",/tstvsrJHY57hc951lb190alXRQm.jpg
Eli,27,2019,"A boy named Eli with a rare autoimmune disorder is confined to a special experimental clinic for his treatment. He soon begins experiencing supernatural forces, turning the supposedly safe facility into a haunted prison for him and his fellow patients.",/bIID8uZTYNnSMfWwaIluRTzaZQL.jpg
Still Fabulous,35,2024,"Stuck in a dead-end career and on a string of terrible dates, the life of 30-something Maddalena is a total mess until one day, she meets an unlikely imaginary friend who comes to her in the form of real-life porn star Valentina Nappi. Her mission? To teach Maddalena everything she needs to know about life, sex, and love. Also starring Raoul Bova and Alessandro Tiberi.",/FToY0m3aJpZUPjeqYN9akNptad.jpg
My Son,"53,80,18",2021,"When a man's only son goes missing, he travels to the town where his ex-wife lives in search of answers. To play a man whose life is clouded by mystery, McAvoy will not be given a script of dialogue.",/8d4q6bf1PS6OX6F3syWnfBzFZg9.jpg
Haunted,"9648,27",1995,"Professor David Ash exposes false spiritulists and mediums. He is invited to Edbrook to resolve the fears and torments within its secretive family. Soon after arriving Ash begins to doubt his own senses, and watching the strange behaviour of its residents does not make his task any easier. In time, he finds there's more to Edbrook than even he can debunk.",/5sJyBJafGtBuvHv6zkXsTFtA3vu.jpg
Antitrust,"28,80,18",2001,A computer programmer's dream job at a hot Portland-based firm turns nightmarish when he discovers his boss has a secret and ruthless means of dispatching anti-trust problems.,/9PXyfcJe53A9qFkcj5dkTJwIWoS.jpg
Dracula 3000,"27,878",2004,"In the year 3000, the deep space salvage ship Mother III locates the vanished starship Demeter in the Carpathian System. Captain Abraham Van Helsing and his crew composed of the blonde assistant Aurora Ash; the crippled navigator Arthur ""The Professor"" Holmwood, who believes that he is a genius; the strong and dumb Humvee; the intern Mina Murry; and the drug addicted 187, decide to claim the possession of Demeter. While exploring the spacecraft, they see a tape of fifty years ago of Captain Varna telling that he was locked in his cabin since his crew was acting weird after getting a cargo of coffins in Transylvania station. When 187 decides to search in the coffins for some possible hidden dope, he cuts his hand and his blood awakes Count Orlock, a.k.a. Count Dracula. When Aurora discloses who Dracula is, the survivors try to find a way to destroy the vampire.",/vHClROtgcoHWiUUEmynGtlU15v6.jpg
Scooby-Doo! & Batman: The Brave and the Bold,"16,35,28,10751,878",2018,Scooby-Doo and the Mystery Inc. gang meet up with Batman and other friends to defeat evil villains and save the day.,/hSPeF1zoYH8kCOhFMu7x3B55zu6.jpg
Rising High,"35,18",2020,"Charting the rise and fall of three corrupt real estate agents who accumulate absurd wealth in no time but fall into a vortex of fraud, greed and drugs.",/6r83qslpsERzHzCroFSp6X4eUse.jpg
An Interview with God,"18,9648",2018,An up-and-coming journalist finds his world and faith increasingly challenged when he's granted the interview of a lifetime – with someone who claims to be God.,/d9TeB8VLCgwSph2OSYK3lcHGf1f.jpg
Bounce,"18,10749",2000,A man switches plane tickets with another man who dies in that plane in a crash. The man falls in love with the deceased one's wife.,/w7X4M14WV7KrkkvXd64lcLh79sR.jpg
Matthias & Maxime,"18,10749",2019,"Two childhood best friends are asked to share a kiss for the purposes of a student short film. Soon, a lingering doubt sets in, confronting both men with their preferences, threatening the brotherhood of their social circle, and, eventually, changing their lives.",/9yEWKVhd33bLH5Ll8Thy6dXDQtG.jpg
A Stork's Journey,"10751,14,12,16,35",2017,"Orphaned at birth and raised by storks, teenage sparrow Richard believes he is one of them. But when time comes to migrate to Africa, his stork family is forced to reveal his true identity and leave him behind in the forest, since he is not a migratory bird and would not survive the journey. Determined to prove he is a stork after all, Richard ventures south on his own. But only with the help of Olga, an eccentric owl with an imaginary friend and Kiki, a narcissistic, disco-singing parakeet, does he stand a chance to reach his goal and learn to accept who he really is.",/aKwgGlhdhdbx0duJhCRojkEZXgU.jpg
Rudolph the Red-Nosed Reindeer,"16,10751,10770",1964,"Sam the snowman tells us the story of a young red-nosed reindeer who, after being ousted from the reindeer games because of his glowing nose, teams up with Hermey, an elf who wants to be a dentist, and Yukon Cornelius, the prospector. They run into the Abominable Snowman and find a whole island of misfit toys. Rudolph vows to see if he can get Santa to help the toys, and he goes back to the North Pole on Christmas Eve. But Santa's sleigh is fogged in. But when Santa looks over Rudolph, he gets a very bright idea...",/xjAElUhXuc7zFJPj3qUHjcySNsE.jpg
Grabuna,"18,53",2024,,/vUJogJO1ex5Vl06OXmefRFFQZK.jpg
The Saint,"28,12,80",2017,"International master thief, Simon Templar, also known as The Saint, is asked by a desperate rich man to find his kidnapped daughter. However, in addition to evading the authorities, Simon must face a dangerous adversary from his past.",/n8tsrPLem70exhXHfSausV7FlPx.jpg
After Porn Ends 2,99,2017,"After Porn Ends 2 picks up where its predecessor left off and not only turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of Its most current retirees and juxtaposes their experiences in a life after porn. Delving deeper into society's ongoing stigmas of race, misogyny, and the reality of decreasing opportunities for these former VHS box cover stars. For some, their careers in adult entertainment is accepted proudly and without regret. In fact, it seems to have proven to be the pathway to their current happiness and inner peace. For others, however, a career in porn has proven to be a conduit to certain despair as they struggle to find a way to bury their past and emerge with a new career or calling.",/rfItXrtDGILwsCdmgVxX79phFuI.jpg
Risen,"878,18,53",2021,"Disaster unfolds when a meteor strikes a small town, turning the environment uninhabitable and killing everything in the surrounding area. Exobiologist Lauren Stone is called to find answers to the unearthly event. As she begins to uncover the truth, imminent danger awakens and it becomes a race against time to save mankind.",/hSmJrx26NLttonxQmO3hvjHa1gF.jpg
The Boondock Saints,"28,53,80",1999,"Tired of the crime overrunning the streets of Boston, Irish Catholic twin brothers Conner and Murphy are inspired by their faith to cleanse their hometown of evil with their own brand of zealous vigilante justice. As they hunt down and kill one notorious gangster after another, they become controversial folk heroes in the community. But Paul Smecker, an eccentric FBI agent, is fast closing in on their blood-soaked trail.",/gj3V39yiGPH1FAylXxzzVneflxA.jpg
Sissi,"35,18,10749",1955,"The young Bavarian princess Elisabeth, who all call Sissi, goes with her mother and older sister Néné to Austria where Néné will be wed to an emperor named Franz Joseph, Yet unexpectedly Franz runs into Sissi while out fishing and they fall in love.",/iGy9j4AdhkiOYRYeTSpq7g3zayL.jpg
Kill Switch,"878,28,53",2017,A pilot battles to save his family and the planet after an experiment for unlimited energy goes wrong.,/8K6pfMcT3hiIlCFw2RrHoXLshxl.jpg
Little Buddha,"18,36",1993,"After the death of Lama Dorje, Tibetan Buddhist monks find three children — one American and two Nepalese — who may be the rebirth of their great teacher.",/xy70xtdoKZ3PxlKkakwdhL3UFDQ.jpg
Band Aid,"35,18,10402",2017,A couple who can't stop fighting embark on a last-ditch effort to save their marriage: turning their fights into songs and starting a band.,/hDYKhDkmvvPnYESr1yNG3K5oMZT.jpg
Loving Annabelle,"18,10749",2007,"Annabelle is the wise-beyond-her-years newcomer to an exclusive Catholic girls school. Having been expelled from her first two schools she's bound to stir some trouble. Sparks fly though when sexual chemistry appears between her and the Head of her dorm and English teacher, Simone Bradley. Annabelle pursues her relentlessly and until the end the older woman manages to avoid the law.",/ezgUinJ6bH0xOWQTqPpb0b7qzE6.jpg
The Last Kumite,28,2024,"Michael Rivers, a skilled martial artist is forced to fight in an illegal fighting tournament to save his daughter.",/zDkaJgsPoSqa2cMe2hW2HAfyWwO.jpg
The Lucky Ones,"35,18,36",2008,"The story revolves around three soldiers — Colee, T.K. and Cheaver — who return from the Iraq War after suffering injuries and learn that life has moved on without them. They end up on an unexpected road trip across the U.S.",/zZv0mXxd7kfyKuCLMyS0DFCk0JC.jpg
Hulk vs. Thor,"28,16,14,878",2009,"For ages, Odin has protected his kingdom of Asgard. But every winter, the All-Father must rest and regain his strength for one week. During this time, all of Asgard's foes (including trolls, giants, dark elves, and demons) try to claim the realm for their own, but they are always stopped by Odin's son, the mighty Thor, albeit with the loss of many brave Asgardian warriors. Loki, god of mischief, has kidnapped Dr. Bruce Banner and brought him to Asgard with the help of Amora, once Thor's lover, now the supervillain known as the Enchantress. Loki makes Banner angry and he changes into the Hulk. The Enchantress then casts a spell over the Hulk which separates Banner from his monstrous alter-ego and grants Loki control over the Hulk's body.",/4NS7L9xtGEOsZA0gnqdQBI7QiXu.jpg
Peeping Tom,"53,27,18",1960,"Loner Mark Lewis works at a film studio during the day and, at night, takes racy photographs of women. Also he's making a documentary on fear, which involves recording the reactions of victims as he murders them. He befriends Helen, the daughter of the family living in the apartment below his, and he tells her vaguely about the movie he is making.",/u36rFrXW7XethWpiEWbRjzfgOc.jpg
Noel,"18,10749",2004,"Christmas Eve in New York, and the lonely divorced publisher, Rose Collins, needs a miracle to improve the health of her mother, interned in a hospital with Alzheimers. She feels sorry for another patient and meets his visitor. Meanwhile, Nina Vasquez breaks her engagement with her beloved fiancé Mike due to his suffocating jealousy, but misses him. Mike is stalked by a stranger, bartender Artie Venzuela. The poor Jules arranges to spend Christmas Eve in the hospital, where he spent the best Christmas of his life when he was a teenager. The lives of some of these characters cross with others along the night.",/pPYlVwLF8mRFxCiXFxHeFN0d4ON.jpg
Her Smell,"18,10402",2019,A self-destructive punk rocker struggles with sobriety while trying to recapture the creative inspiration that led her band to success.,/qEvgdGBMORPS0rz8pqkVH3obLee.jpg
The Guard,"28,35,53,80",2011,"When a small-town Irish cop with a crass personality is partnered with a straight-laced FBI agent to bust an international drug-trafficking ring, they must settle their differences in order to take down a dangerous gang.",/dtQiStID0le2EMTmJXupPRybARB.jpg
Countess Dracula,"18,27",1971,"Hungary, XVII century. After being widowed, the old countess Elizabeth Nádasdy, of the Báthory lineage, fortunately discovers a way to become young again; but the price to be paid by those around her will be high and bloody.",/lkvDsrhpueyhk5ACX4p8A55Xtnm.jpg
Ranma ½: The Movie — The Battle of Nekonron: The Fight to Break the Rules!,"16,35,28,10749",1991,"When Prince Kirin of the 7 Lucky Gods shows up at the Tendo dojo looking for his bride-to-be, guess who's accidentally holding the scroll that signifies his future mate? Why, Akane, of course, and the rest of the Ranma crew is forced to take a boat to China in order to save her from the horrors of marriage and a diet of pickled vegetables.",/2dB9Cx6dXIwr7Hx1jhnADOzwrLC.jpg
Courage Under Fire,"18,53,9648,10752",1996,"A US Army officer, who made a ""friendly fire"" mistake that was covered up, has been reassigned to a desk job. He is tasked to investigate a female chopper commander's worthiness to be awarded the Medal of Honor. At first all seems in order. But then he begins to notice inconsistencies between the testimonies of the witnesses...",/vDJurMJkrx049AiXa3DJx5Zx7a4.jpg
